1986	10	1	7.83
1986	10	2	7.43
1986	10	3	7.83
1986	10	4	9.11
1986	10	5	5.58
1986	10	6	7.83
1986	10	7	6.65
1986	10	8	5.93
1986	10	9	6.29
1986	10	10	7.03
1986	10	11	7.83
1986	10	12	4.93
1986	10	13	6.65
1986	10	14	6.65
1986	10	15	5.58
1986	10	16	6.29
1986	10	17	6.29
1986	10	18	4.93
1986	10	19	4.93
1986	10	20	6.29
1986	10	21	7.03
1986	10	22	5.58
1986	10	23	6.65
1986	10	24	9.57
1986	10	25	13.63
1986	10	26	10.03
1986	10	27	9.57
1986	10	28	8.67
1986	10	29	7.83
1986	10	30	7.83
1986	10	31	7.83
1986	11	1	7.43
1986	11	2	7.03
1986	11	3	7.83
1986	11	4	7.83
1986	11	5	7.03
1986	11	6	6.29
1986	11	7	4.62
1986	11	8	3.75
1986	11	9	2.99
1986	11	10	3.49
1986	11	11	10.51
1986	11	12	10.03
1986	11	13	15.96
1986	11	14	50.1
1986	11	15	36.35
1986	11	16	28.24
1986	11	17	25.79
1986	11	18	23.46
1986	11	19	17.85
1986	11	20	21.98
1986	11	21	17.21
1986	11	22	13.08
1986	11	23	15.96
1986	11	24	16.58
1986	11	25	12.54
1986	11	26	13.63
1986	11	27	9.57
1986	11	28	10.03
1986	11	29	10.03
1986	11	30	9.57
1986	12	1	8.67
1986	12	2	12.54
1986	12	3	14.77
1986	12	4	13.08
1986	12	5	11.5
1986	12	6	13.08
1986	12	7	13.08
1986	12	8	17.21
1986	12	9	19.17
1986	12	10	17.21
1986	12	11	14.19
1986	12	12	17.21
1986	12	13	25.79
1986	12	14	35.39
1986	12	15	35.39
1986	12	16	37.32
1986	12	17	28.24
1986	12	18	21.98
1986	12	19	25.79
1986	12	20	27.41
1986	12	21	31.7
1986	12	22	32.6
1986	12	23	26.59
1986	12	24	25
1986	12	25	23.46
1986	12	26	25.79
1986	12	27	24.23
1986	12	28	23.46
1986	12	29	22.71
1986	12	30	22.71
1986	12	31	20.55
1987	1	1	20.55
1987	1	2	25
1987	1	3	26.59
1987	1	4	25
1987	1	5	21.98
1987	1	6	20.55
1987	1	7	19.85
1987	1	8	23.46
1987	1	9	27.41
1987	1	10	32.6
1987	1	11	25.79
1987	1	12	30.82
1987	1	13	53.63
1987	1	14	43.45
1987	1	15	42.39
1987	1	16	37.32
1987	1	17	36.35
1987	1	18	33.52
1987	1	19	34.45
1987	1	20	32.6
1987	1	21	29.95
1987	1	22	29.09
1987	1	23	29.95
1987	1	24	26.59
1987	1	25	25
1987	1	26	29.09
1987	1	27	34.45
1987	1	28	44.52
1987	1	29	43.45
1987	1	30	39.31
1987	1	31	39.31
1987	2	1	39.31
1987	2	2	53.63
1987	2	3	45.61
1987	2	4	42.39
1987	2	5	40.32
1987	2	6	39.31
1987	2	7	31.7
1987	2	8	31.7
1987	2	9	33.52
1987	2	10	37.32
1987	2	11	56.05
1987	2	12	47.83
1987	2	13	50.1
1987	2	14	47.83
1987	2	15	44.52
1987	2	16	52.44
1987	2	17	71.87
1987	2	18	66.36
1987	2	19	56.05
1987	2	20	52.44
1987	2	21	50.1
